ref	surface	lemma	pos	features	stem_class	ms	position	variation
Mt.5.15	ak	ak	conj	{}		1	1	0
Mt.5.15	ana	ana	prep	{}		1	2	0
Mt.5.15	lukarnastaþin	lukarnastaþa	noun	{"case": "DAT", "number": "SG", "gender": "M"}	an-stem	1	3	0
Mt.5.15	jah	jah		{}		1	4	0
Mt.5.15	liuteiþ	liuhtjan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	5	0
Mt.5.15	allaim	alls	adj	{"strength": "STR", "gender": "M", "case": "DAT", "number": "PL"}	a-stem	1	6	0
Mt.5.15	allaim	alls	adj	{"strength": "STR", "gender": "F", "case": "DAT", "number": "PL"}	a-stem	1	6	0
Mt.5.15	allaim	alls	adj	{"strength": "STR", "gender": "N", "case": "DAT", "number": "PL"}	a-stem	1	6	0
Mt.5.15	þaim	sa	pron	{"gender": "F", "case": "DAT", "number": "PL"}		1	7	0
Mt.5.15	þaim	sa	pron	{"gender": "M", "case": "DAT", "number": "PL"}		1	7	0
Mt.5.15	þaim	sa	pron	{"gender": "N", "case": "DAT", "number": "PL"}		1	7	0
Mt.5.15	in	in	prep	{}		1	8	0
Mt.5.15	þamma	sa	pron	{"gender": "M", "case": "DAT", "number": "SG"}		1	9	0
Mt.5.15	garda	gards	noun	{"case": "DAT", "number": "SG", "gender": "M"}	i-stem	1	10	0
Mt.5.16	swa	swa	adv	{}		1	1	0
Mt.5.16	liuhtjai	liuhtjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	2	0
Mt.5.16	liuhaþ	liuhaþ	noun	{"case": "NOM", "number": "SG", "gender": "N"}	a-stem	1	3	0
Mt.5.16	izwar	izwar	pron	{"strength": "STR", "gender": "N", "case": "NOM", "number": "SG"}	a-stem	1	4	0
Mt.5.16	in	in	prep	{}		1	5	0
Mt.5.16	andwairþja	andwairþi	noun	{"case": "DAT", "number": "SG", "gender": "N"}	ja-stem	1	6	0
Mt.5.16	manne	manna	noun	{"case": "GEN", "number": "PL", "gender": "M"}		1	7	0
Mt.5.16	ei	ei	conj	{}		1	8	0
Mt.5.16	gasaiƕaina	ga-saiƕan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "PL", "person": "3"}	strong-V	1	9	0
Mt.5.16	izwara	izwar	pron	{"strength": "STR", "gender": "N", "case": "ACC", "number": "PL"}	a-stem	1	10	0
Mt.5.16	goda	goþs	adj	{"strength": "STR", "gender": "N", "case": "ACC", "number": "PL"}	a-stem	1	11	0
Mt.5.16	waurstwa	waurstw	noun	{"case": "ACC", "number": "PL", "gender": "N"}	a-stem	1	12	0
Mt.5.16	jah	jah		{}		1	13	0
Mt.5.16	hauhjaina	hauhjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "PL", "person": "3"}	weak-I	1	14	0
Mt.5.16	attan	atta	noun	{"case": "ACC", "number": "SG", "gender": "M"}	an-stem	1	15	0
Mt.5.16	izwarana	izwar	pron	{"strength": "STR", "gender": "M", "case": "ACC", "number": "SG"}	a-stem	1	16	0
Mt.5.16	þana	sa	pron	{"gender": "M", "case": "ACC", "number": "SG"}		1	17	0
Mt.5.16	in	in	prep	{}		1	18	0
Mt.5.16	himinam	himins	noun	{"case": "DAT", "number": "PL", "gender": "M"}	a-stem	1	19	0
Mt.5.17	ni	ni		{}		1	1	0
Mt.5.17	hugjaiþ	hugjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "PL", "person": "2"}	weak-I	1	2	0
Mt.5.17	ei	ei	conj	{}		1	3	0
Mt.5.17	qemjau	qiman	verb	{"voice": "ACT", "mood": "OPT", "tense": "PST", "number": "SG", "person": "1"}	strong-IV	1	4	0
Mt.5.17	gatairan	ga-tairan	verb	{"mood": "INF", "voice": "ACT"}	strong-IV	1	5	0
Mt.5.17	witoþ	witoþ	noun	{"case": "ACC", "number": "SG", "gender": "N"}	a-stem	1	6	0
Mt.5.17	aiþþau	aiþþau	conj	{}		1	7	0
Mt.5.17	praufetuns	praufetes	noun	{"case": "ACC", "number": "PL", "gender": "M"}		1	8	0
Mt.5.17	ni	ni		{}		1	9	0
Mt.5.17	qam	qiman	verb	{"voice": "ACT", "mood": "IND", "tense": "PST", "number": "SG", "person": "1"}	strong-IV	1	10	0
Mt.5.17	gatairan	ga-tairan	verb	{"mood": "INF", "voice": "ACT"}	strong-IV	1	11	0
Mt.5.17	ak	ak	conj	{}		1	12	0
Mt.5.17	usfulljan	us-fulljan	verb	{"mood": "INF", "voice": "ACT"}	weak-I	1	13	0
Mt.5.18	amen	amen	noun	{}		1	1	0
Mt.5.18	auk	auk	conj	{}		1	2	0
Mt.5.18	qiþa	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "1"}	strong-V	1	3	0
Mt.5.18	izwis	þu	pron	{"case": "DAT", "number": "PL"}		1	4	0
Mt.5.18	und	und	prep	{}		1	5	0
Mt.5.18	þatei	saei	pron	{"gender": "N", "case": "ACC", "number": "SG"}		1	6	0
Mt.5.18	usleiþiþ	us-leiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-I	1	7	0
Mt.5.18	himins	himins	noun	{"case": "NOM", "number": "SG", "gender": "M"}	a-stem	1	8	0
Mt.5.18	jah	jah		{}		1	9	0
Mt.5.18	airþa	airþa	noun	{"case": "NOM", "number": "SG", "gender": "F"}	ō-stem	1	10	0
Mt.5.18	jota	jota	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	11	0
Mt.5.18	ains	ains	adj	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	12	0
Mt.5.18	aiþþau	aiþþau	conj	{}		1	13	0
Mt.5.18	ains	ains	adj	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	14	0
Mt.5.18	striks	striks	noun	{"case": "NOM", "number": "SG", "gender": "M"}	i-stem	1	15	0
Mt.5.18	ni	ni		{}		1	16	0
Mt.5.18	usleiþiþ	us-leiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-I	1	17	0
Mt.5.18	af	af	prep	{}		1	18	0
Mt.5.18	witoda	witoþ	noun	{"case": "DAT", "number": "SG", "gender": "N"}	a-stem	1	19	0
