ref	text	parallel	translation
Mt.5.15	ak ana lukarnastaþin jah liuteiþ allaim þaim in þamma garda		
Mt.5.16	swa liuhtjai liuhaþ izwar in andwairþja manne ei gasaiƕaina izwara goda waurstwa jah hauhjaina attan izwarana þana in himinam		
Mt.5.17	ni hugjaiþ ei qemjau gatairan witoþ aiþþau praufetuns ni qam gatairan ak usfulljan		
Mt.5.18	amen auk qiþa izwis und þatei usleiþiþ himins jah airþa jota ains aiþþau ains striks ni usleiþiþ af witoda unte allata wairþiþ		
Mt.5.19	iþ saei nu gatairiþ aina anabusne þizo minnistono jah laisjai swa mans minnista haitada in þiudangardjai himine iþ saei taujiþ jah laisjai swa sah mikils haitada in þiudangardjai himine		
Mt.5.20	qiþa auk izwis þatei nibai managizo wairþiþ izwaraizos garaihteins þau þize bokarje jah Fareisaie ni þau qimiþ in þiudangardjai himine		
Mt.5.21	hausideduþ þatei qiþan ist þaim airizam ni maurþrjais iþ saei maurþreiþ skula wairþiþ stauai		
Mt.5.22	aþþan ik qiþa izwis þatei ƕazuh modags broþr seinamma sware skula wairþiþ stauai iþ saei qiþiþ broþr seinamma raka skula wairþiþ gaqumþai aþþan saei qiþiþ dwala skula wairþiþ in gaiainnan funins		
Mt.5.23	jabai nu bairais aibr þein du hunslastada jah jainar gamuneis þatei broþar þeins habaiþ ƕa bi þuk		
Mt.5.24	aflet jainar þo giba þeina in andwairþja hunslastadis jah gagg faurþis gasibjon broþr þeinamma jah biþe atgaggands atbair þo giba þeina		
Mt.5.25	sijais waila hugjands andastauin þeinamma sprauto und þatei is in wiga miþ imma ibai ƕan atgibai þuk sa andastaua stauin jah sa staua þuk atgibai andbahta jah in karkara galagjaza		
Mt.5.26	amen qiþa þus ni usgaggis jainþro unte usgibis þana minnistan kintu		
Mt.5.27	hausideduþ þatei qiþan ist ni horinos		
Mt.5.28	aþþan ik qiþa izwis þatei ƕazuh saei saiƕiþ qinon du luston izos ju gahorinoda izai in hairtin seinamma		
Mt.5.29	iþ jabai augo þein þata taihswo marzjai þuk usstagg ita jah wairp af þus batizo ist auk þus ei fraqistnai ains liþiwe þeinaize jah ni allata leik þein gadriusai in gaiainnan		
Mt.5.30	jah jabai taihswo þeina handus marzjai þuk afmait þo jah wairp af þus batizo ist auk þus ei fraqistnai ains liþiwe þeinaize jah ni allata leik þein gadriusai in gaiainnan		
Mt.5.31	qiþanuh þan ist þatei ƕazuh saei afletai qen gibai izai afstassais bokos		
Mt.5.32	iþ ik qiþa izwis þatei ƕazuh saei afletiþ qen seina inuh fairina kalkinassaus taujiþ þo horinon jah sa ize afsatida liugaiþ horinoþ		
Mt.5.33	aftra hausideduþ þatei qiþan ist þaim airizam ni ufarswarais iþ usgibais fraujin aiþans þeinans		
